movie_title,release_date,wikipedia_url,genre,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget,revenue
The Signal,2014-01-20,https://en.wikipedia.org/wiki/The_Signal_(2014_film),Sci-Fi,William Eubank,N/A,Brenton Thwaites,Olivia Cooke,Sarah Clarke,Laurence Fishburne,N/A,4000000.0,2420000.0
The Single Moms Club,2014-03-14,https://en.wikipedia.org/wiki/The_Single_Moms_Club,Comedy,Tyler Perry,N/A,Tyler Perry,Nia Long,Wendi McLendon-Covey,Zulay Henao,Cocoa Brown,8000000.0,16300000.0
The Smurfs 2,2013-07-31,https://en.wikipedia.org/wiki/The_Smurfs_2,Adventure,Raja Gosnell,N/A,Neil Patrick Harris,Jayma Mays,Hank Azaria,Tim Gunn,Brendan Gleeson,105000000.0,347500000.0
The Spectacular Now,2013-08-02,https://en.wikipedia.org/wiki/The_Spectacular_Now,Drama,James Ponsoldt,N/A,Miles Teller,Shailene Woodley,Kaitlyn Dever,Brie Larson,Dayo Okeniyi,2500000.0,6900000.0
The SpongeBob Movie: Sponge Out of Water,2015-02-06,https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,Adventure,Paul Tibbitt,Jonathan Aibel,Paul Tibbitt (director),Jonathan Aibel,Glenn Berger(screenplay),Antonio Banderas,Tom Kenny,74000000.0,323400000.0
The Sweet Escape,2015-06-10,https://en.wikipedia.org/wiki/The_Sweet_Escape_(film),Comedy,Bruno Podalydès,N/A,Bruno Podalydès,Sandrine Kiberlain,Agnès Jaoui,Vimala Pons,N/A,3800000.0,3300000.0
The Theory of Everything,2014-09-07,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),Biography,James Marsh,N/A,Eddie Redmayne,Felicity Jones,N/A,N/A,N/A,15000000.0,123700000.0
The Three Stooges,2012-04-13,https://en.wikipedia.org/wiki/The_Three_Stooges_(film),Comedy,Bobby Farrelly,Peter Farrelly,Chris Diamantopoulos,Sean Hayes,Will Sasso,Jane Lynch,Larry David,30000000.0,54800000.0
The Transporter Refueled,2015-09-04,https://en.wikipedia.org/wiki/The_Transporter_Refueled,Action,Camille Delamarre,N/A,Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright,N/A,25000000.0,72600000.0
The Twilight Saga: Breaking Dawn – Part 2,2012-11-16,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%25E2%2580%2593_Part_2,Fantasy,Bill Condon,N/A,Kristen Stewart,Robert Pattinson,Michael Sheen,Mackenzie Foy,Billy Burke,120000000.0,829700000.0
The Vatican Tapes,2015-07-25,https://en.wikipedia.org/wiki/The_Vatican_Tapes,Horror,Mark Neveldine,N/A,Kathleen Robertson,Michael Peña,Djimon Hounsou,Dougray Scott,John Patrick Amedori,13000000.0,13500000.0
The Visit,2015-09-08,https://en.wikipedia.org/wiki/The_Visit_(2015_American_film),Horror,M. Night Shyamalan,N/A,Kathryn Hahn,Ed Oxenbould,Deanna Dunagan,Peter McRobbie,Olivia DeJonge,5000000.0,98500000.0
The Walk,2015-09-30,https://en.wikipedia.org/wiki/The_Walk_(2015_film),Biography,Robert Zemeckis,N/A,Joseph Gordon-Levitt,Ben Kingsley,James Badge Dale,Charlotte Le Bon,N/A,45000000.0,61200000.0
The Watch,2012-07-27,https://en.wikipedia.org/wiki/The_Watch_(2012_film),Comedy,Akiva Schaffer,N/A,Ben Stiller,Vince Vaughn,Rosemarie DeWitt,Jonah Hill,Richard Ayoade,68000000.0,68300000.0
The Water Diviner,2014-12-26,https://en.wikipedia.org/wiki/The_Water_Diviner,Drama,Russell Crowe,N/A,Cem Yılmaz,Miyavi,Yılmaz Erdoğan,N/A,N/A,22500000.0,30800000.0
"The Way, Way Back",2013-07-05,"https://en.wikipedia.org/wiki/The_Way,_Way_Back",Comedy,Nat Faxon,Jim Rash,Steve Carell,Toni Collette,Allison Janney,AnnaSophia Robb,Sam Rockwell,5000000.0,5000000.0
The Wedding Ringer,2015-01-16,https://en.wikipedia.org/wiki/The_Wedding_Ringer,Romance,Jeremy Garelick,N/A,Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby,Alan Ritchson,23000000.0,79800000.0
The Witch,2016-01-27,https://en.wikipedia.org/wiki/The_Witch_(2015_film),Horror,Robert Eggers,N/A,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,N/A,N/A,3000000.0,40400000.0
The Wolverine,2013-07-24,https://en.wikipedia.org/wiki/The_Wolverine_(film),Action,James Mangold,N/A,Hugh Jackman,Famke Janssen,Hiroyuki Sanada,Hal Yamanouchi,Tao Okamoto,120000000.0,414800000.0
The Woman in Black,2012-02-03,https://en.wikipedia.org/wiki/The_Woman_in_Black_(2012_film),Horror,James Watkins,N/A,Daniel Radcliffe,Ciarán Hinds,Janet McTeer,Liz White,Alisa Khazanova,15000000.0,128500000.0
The Woman in Black: Angel of Death,2014-12-30,https://en.wikipedia.org/wiki/The_Woman_in_Black:_Angel_of_Death,Horror,Tom Harper,N/A,Phoebe Fox,Jeremy Irvine,Helen McCrory,Adrian Rawlins,Oaklee Pendergast,15000000.0,48900000.0
The World's End,2013-07-19,https://en.wikipedia.org/wiki/The_World%2527s_End_(film),Comedy,Edgar Wright,N/A,Simon Pegg,Nick Frost,Paddy Considine,Martin Freeman,Eddie Marsan,20000000.0,46100000.0
The Young Messiah,2016-03-11,https://en.wikipedia.org/wiki/The_Young_Messiah_(film),Drama,Cyrus Nowrasteh,N/A,Adam Greaves-Neal,Sean Bean,N/A,N/A,N/A,18500000.0,7200000.0
Think Like a Man,2012-04-20,https://en.wikipedia.org/wiki/Think_Like_a_Man,Comedy,Tim Story,N/A,Kevin Hart,Michael Ealy,Taraji P. Henson,Jerry Ferrara,Meagan Good,12000000.0,96100000.0
This Is the End,2013-06-12,https://en.wikipedia.org/wiki/This_Is_the_End,Comedy,Evan Goldberg,Seth Rogen,Seth Rogen,Jay Baruchel,James Franco,Craig Robinson,Danny McBride,32000000.0,126000000.0
This Is Where I Leave You,2014-09-19,https://en.wikipedia.org/wiki/This_Is_Where_I_Leave_You,Comedy,Shawn Levy,N/A,Jason Bateman,Tina Fey,Jane Fonda,Timothy Olyphant,Corey Stoll,19800000.0,41300000.0
